Sl.No,State_Name,Institution_Name,Institution_Type
6039,Maharashtra,LAXMI MATA MAHILA BAHUDESHIYA SHIKSHAN SANSTHA SAI DARSHAN COLLEGE OF TECHNOLOGY HINGANGHAT (Id: S-10634),Technical/Polytechnic
6040,Maharashtra,LAXMINARAYAN ADHYAPAK VIDYALAY (D. ED) MOTOSHRI LAXIMBAI TAH. KARNJA WARDHA (Id: S-9523),Teacher Training
6041,Maharashtra,LAXMI SHIKSHAN SANSTHA and KRIDA MANDALSAMRAT SEWAKBHAU WAGHAYE PATIL POLYTECHNIC COLLEGEAT GADEGAON LAKHANI DIST BHANDARA (Id: S-1907),Technical/Polytechnic
6042,Maharashtra,LEELA EDUCATION SOCIETY G. V. ACHARYA POLYTECHNICSHELU KARJAT. (Id: S-1908),Technical/Polytechnic
6043,Maharashtra,LET HEERAMAN SONU JAT EDUCATION SOCIAL MANDAL KULTHE DHULE (Id: S-9524),Teacher Training
6044,Maharashtra,LET PRALHAD SHYAM PATIL TANTRIK SHIKSHAN SANSTHA KORIT NANDURBAR (Id: S-9525),Teacher Training
6045,Maharashtra,LET. SARDAR PATEL RURAL MARATHI DED COLLEGE PHULAMBRI AURANGABAD (Id: S-9526),Teacher Training
6046,Maharashtra,LEXICON GLOBAL BUSINESS SCHOOL (Id: S-223),PGDM Institutes
6047,Maharashtra,LOHIT GRAMVIKAS BAHUUDDESHIYA SANSTHA LATE SAU INDIRABAI GHATANJI YAVATMAL (Id: S-9527),Teacher Training
6048,Maharashtra,LOKJAGRATI SHIKSHAN PRASARAK MANDAL RAPKA LATUR (Id: S-9530),Teacher Training
6049,Maharashtra,LOK KALYAN SANSTHA MAHAKALI ADHYAPAK VIDYALAYA (D. ED. ) NANDANWAN NAGPUR (Id: S-9528),Teacher Training
6050,Maharashtra,LOKMANYA COLLEGE OF TEACHER EDUCATION DAPOLI RATNAGIRI (Id: S-9531),Teacher Training
6051,Maharashtra,LOKMANYA TILAK JANAKALYAN SHIKSHAN`S PRIYADARSHINI INSTITUTE OF ARCHITECTURE and DESIGN STUDIES NAGPUR (Id: S-10494),Technical/Polytechnic
6052,Maharashtra,LOKMANYA TILAK JANKALYAN SHIKSHAN SANSTHA'S J.L.CHATURVEDI COLLEGE OF PHARMACY(DIPLOMA) NAGPUR (Id: S-1910),Technical/Polytechnic
6053,Maharashtra,LOKMANYA TILAK JANKALYAN SHIKSHAN SANSTHAS JYOTIBA COLLEGE OF PHYSICAL EDUCATION HINGNA ROAD NAGPUR (Id: S-9532),Teacher Training
6054,Maharashtra,LOKMANYA TILAK MUNICIPAL GENERAL HOSPITAL MUMBAI (Id: S-4777),Nursing
6055,Maharashtra,LOKMATA AHILAYLADEVI HOLKAR EDUCATIONAL AND SOCIAL KHANDALA LATUR (Id: S-9533),Teacher Training
6056,Maharashtra,LOKNETE BALASAHEB PAWAR D. ED. COLLEGE SAWARGAON HADAP JALNA (Id: S-9534),Teacher Training
6057,Maharashtra,LOKNETE HANUMANTRAO PATIL CHARITABLE TRUST`S LOKNETE HANAMANTRAO PATIL COLLEGE OF PHARMACY VITA (Id: S-10817),Technical/Polytechnic
6058,Maharashtra,LOKNETE MA.HANUMANTRAO PATIL CHARITABLE TRUST ADARSH INSTITUTE OF TECHNOLOGY (POLY) KHAMBALE (Id: S-1912),Technical/Polytechnic
6059,Maharashtra,LOKSEVA BAHUDESHIYA SEVA MANDAL C. N. WASNIK ADHYAPAK LAKHANDUR RA LAKHANDUR BHANDARA (Id: S-9535),Teacher Training
6060,Maharashtra,LOKSEVA BAHUVUDDESHIYA SEVABAHAVI SANSTHA LATUR LATUR (Id: S-9536),Teacher Training
6061,Maharashtra,LOKSEVA EDUCATION INSTITUTION SANGVI PUNE (Id: S-9537),Teacher Training
6062,Maharashtra,LOKSEVA EDUCATION SOCIETYS PURANDAR PUNE (Id: S-9539),Teacher Training
6063,Maharashtra,LOKSEVA PRATISTHAN`S LOKSEVA COLLEGE OF PHARMACY PHULGAON HAVELI PUNE (Id: S-10812),Technical/Polytechnic
6064,Maharashtra,LOKSHAHI SHIKSHAN SANSTHA HAGBHED CHANDRAPUR (Id: S-9540),Teacher Training
6065,Maharashtra,LOK SHIKSHAN SANSTHA MATOSHRI HIRUBAI JAWANJAL ADHYAPAK VIDYA WADALI AMRAVATI (Id: S-9529),Teacher Training
6066,Maharashtra,LONESHWAR GRAMIN VIKAS MANDAL JUNIOR COLLEGE OF EDUCATION LONI HAVELI AHMEDNAGAR (Id: S-9541),Teacher Training
6067,Maharashtra,LORDS COLLEGE OF EDUCATION SHRI SUDHIRMADHAVJI LAL WELFARE and EDUCATIONAL TRUST DAFTARY MUMBAI (Id: S-9542),Teacher Training
6068,Maharashtra,L R T BHOSALE INSTITUTE OF MODERN TECHNOLOGY TUKUM (Id: S-10540),Technical/Polytechnic
6069,Maharashtra,L R T BHOSALE SCHOOL OF TECHNOLOGY WARDHA (Id: S-10575),Technical/Polytechnic
6070,Maharashtra,L S RAHEJA OF ARCHITECTURE MUMBAI (Id: S-10387),Technical/Polytechnic
6071,Maharashtra,L and T INSTITUTE OF TECHNOLOGY MUMBAI (Id: S-1899),Technical/Polytechnic
6072,Maharashtra,LT VITHALRAO DHUMAL ADHYAPAK (D. ED. ) VIDYALAYA NILANGA LATUR (Id: S-9543),Teacher Training
6073,Maharashtra,"MAA GANGA NURSING SCHOOL, WASHIM (Id: S-12816)",Nursing
6074,Maharashtra,MAA GAYATRI SCHOOL OF NURSING AMRAVATI (Id: S-4778),Nursing
6075,Maharashtra,MAA JAGDAMBA SHIKSHAN SANSTHA`S MAHATMA JYOTIBA PHULE INSTITUTE OF TECHNOLOGY WARDHA (Id: S-10706),Technical/Polytechnic
6076,Maharashtra,MAA TULJABHAVANI INSTITUTE OF ADVANCE TECHNOLOGY NAGPUR (Id: S-10555),Technical/Polytechnic
6077,Maharashtra,MAA VAISHNAVI COLLEGE OF PHARMACY ANASINGH WASHIM (Id: S-10269),Technical/Polytechnic
6078,Maharashtra,MADHURIBAI DESHMUKH INSTITUTE OF NURSING EDUCATION NAGPUR (Id: S-4779),Nursing
6079,Maharashtra,MAEER MIT'S SRI SAVITRIBAI PHULE POLYTECHNIC (Id: S-1916),Technical/Polytechnic
6080,Maharashtra,M A E E R`S MIT SCHOOL OF MANAGEMENT PUNE (Id: S-10838),Technical/Polytechnic
6081,Maharashtra,MAHAD MANUFACTURERS ASSOCIATION M M A TECHNICAL INSTITUTE MAHAD (Id: S-10432),Technical/Polytechnic
6082,Maharashtra,"MAHAKALI ADHYAPAK VIDYALAYA NEHRU NAGAR, NAGPUR (Id: S-12048)",Teacher Training
6083,Maharashtra,MAHALAXMI BAHUUDDESHIYA SHAIKSHANIK AND SAMAJIK SANSTHA`S SHREE RAMDASJI TADAS SCHOOL OF TECHNOLOGY DEVALI WARDHA (Id: S-10743),Technical/Polytechnic
6084,Maharashtra,MAHALAXMI D. ED. VIDYALAYA NAGPUR NAGPUR (Id: S-9545),Teacher Training
6085,Maharashtra,MAHALUNGE GRAM VIKAS SAMITI TRUST MAHALUNGE PUNE (Id: S-9546),Teacher Training
6086,Maharashtra,MAHARAJA MADHAVRAO SHINDE JAMGAON AHMEDNAGAR (Id: S-9547),Teacher Training
6087,Maharashtra,MAHARAJ INSTITUTE OF TECHNICAL EDUCATION NAGPUR (Id: S-10531),Technical/Polytechnic
6088,Maharashtra,MAHARAJ INSTITUTTE OF TECHNOLOGY BALLARSHAH (Id: S-10536),Technical/Polytechnic
6089,Maharashtra,MAHARANI DEVI AHILYABAI HOLKAR EDUCATION SOCIETY ATAPADI SANGLI (Id: S-9548),Teacher Training
6090,Maharashtra,MAHARASHTRA ACADEMY OF ENGG. and EDUCATION RESEARCH (Id: S-224),PGDM Institutes
6091,Maharashtra,MAHARASHTRA ACADEMY OF ENGINEERING AND EDUCATIONAL RAMESHWAR (Id: S-9549),Teacher Training
6092,Maharashtra,MAHARASHTRA ACADEMY OF ENGINEERING AND EDUCATIONAL RESEARCH YASHWANTRAO CHAVAN D. ED. COLLEGE BARSHI SOLAPUR (Id: S-9550),Teacher Training
6093,Maharashtra,MAHARASHTRA ADHYAPAK VIDYALAYA AHMEDNAGAR AHMEDNAGAR (Id: S-9551),Teacher Training
6094,Maharashtra,MAHARASHTRA COSMOPOLITAN EDUCATION SOCIETY AZAM CAMPUS CAMP PUNE (Id: S-9552),Teacher Training
6095,Maharashtra,MAHARASHTRA COSMOPOLITAN EDUCATION SOCIETY INSTITUTE OF PHARMACY(DIPLOMA) AZAM CAMPAUS PUNE (Id: S-1918),Technical/Polytechnic
6096,Maharashtra,MAHARASHTRA GRAMIN UDYOG VIKAS SANSTHA`S KHAN COLLEGE OF FIRE ENGINEERING and TECHNOLOGY AKOLA (Id: S-10313),Technical/Polytechnic
6097,Maharashtra,MAHARASHTRA HOMIOPATHIC FOUNDATION COLLEGE OF POLYTECHNIC GUJALWADI TAL SANGAMNER AHMEDNAGAR (Id: S-1919),Technical/Polytechnic
6098,Maharashtra,MAHARASHTRA INSTITUTE OF EDUCATION BRAMHAPURI CHANDRAPUR (Id: S-9553),Teacher Training
6099,Maharashtra,MAHARASHTRA INSTITUTE OF MEDICAL SCIENCE and TECHNOLOGY MUMBAI (Id: S-10422),Technical/Polytechnic
6100,Maharashtra,MAHARASHTRA INSTITUTE OF PRINTING TECHNOLOGY(AIDED) PUNE (Id: S-1920),Technical/Polytechnic
6101,Maharashtra,MAHARASHTRA JR. COLLEGE OF EDUCATION AJNI NAGPUR (Id: S-9554),Teacher Training
6102,Maharashtra,MAHARASHTRA JR. COLLEGE OF EDUCATION CHANDUR BAZAR AMRAVATI (Id: S-9555),Teacher Training
6103,Maharashtra,MAHARASHTRA MAGASVARGIYA SHAIKSHNIK AND SAMAJIK VIKAS MANDAL LAKHANDUR BHANDARA (Id: S-9557),Teacher Training
6104,Maharashtra,MAHARASHTRA MAGASVARGIYA SHAIKSHNIK AND SAMAJIK VIKAS MANDAL MORGAON GONDIA (Id: S-9556),Teacher Training
6105,Maharashtra,MAHARASHTRA MINORITIES EDUCATION SOCIETY COLLEGE OF EDUCATION UDGIR LATUR (Id: S-9558),Teacher Training
6106,Maharashtra,MAHARASHTRA NURSING SCHOOL LATUR (Id: S-4780),Nursing
6107,Maharashtra,MAHARASHTRA SHETKARI SEVA MANDAL TRYAMBAKRAO SHEJAWAL INSTITUTE OF TECHOLOGY (POLYTEHNIC) MANMADNANDGAONNASHIK (Id: S-1921),Technical/Polytechnic
6108,Maharashtra,MAHARASHTRA SHIKSHAN MANDAL SANGMESHWAR E. ED COLLEGE SHIVNAGAR LATUR (Id: S-9559),Teacher Training
6109,Maharashtra,MAHARASHTRA SHIKSHAN PRASARAK MANDALSSOMMAYA DIPLOMA IN ENGINEERING WADGAON DIST CHANDRAPUR (Id: S-1922),Technical/Polytechnic
6110,Maharashtra,MAHARASHTRA SHIKSHAN PRASARK MANDAL SANT GADAGE MAHARAJ D. ED. COLLEGE ARMORI GADCHIROLI (Id: S-9560),Teacher Training
6111,Maharashtra,MAHARASHTRA SHIKSHAN SAMITI'S MAHARASHTRA POLYTECHNIC (D. PHARMACY) INSTITUTE NILANGALATUR (Id: S-1923),Technical/Polytechnic
6112,Maharashtra,MAHARASHTRA SHIKSHAN VIKAS MANDAL'S LOKNETE GOPALRAOJI GULWE POLYTEHNICVILHOLINASHIK (Id: S-1924),Technical/Polytechnic
6113,Maharashtra,MAHARASHTRA STATE INSTITUTE OF HOTEL MANAGEMENT and CATERING TECHNOLOGYPUNE (Id: S-1925),Technical/Polytechnic
6114,Maharashtra,MAHARASHTRA TECHNOLOGY EDU SOC COLLEGE OF HOSPITAL MANEGEMENT PUNE (Id: S-10835),Technical/Polytechnic
6115,Maharashtra,MAHARASHTRIYA SHIKSHAN SANSTHA PARAG D. ED. COLLEGE SANGAMESHWAR RATNAGIRI (Id: S-9561),Teacher Training
6116,Maharashtra,MAHARSHI BAHU-UDDESHIYA GRAMIN VIKAS SANSTHA`S MAHARSHI INSTITUTE OF TECHNOLOGY YAVATMAL (Id: S-10337),Technical/Polytechnic
6117,Maharashtra,MAHARSHI KARVE STREE-SHIKSHAN SANSTHA NARGUNDKAR EDUCATIONAL COMPLEX NAGPUR NAGPUR (Id: S-9562),Teacher Training
6118,Maharashtra,MAHARSHI KARVE STREE SHIKSHAN SANSTHA NARGUNDKAR SHAISHANIK SANKUL NAGPUR (Id: S-10736),Technical/Polytechnic
6119,Maharashtra,MAHARSHI SHINDE ADHYAPAK VIDYALAYA SHIVAJI NAGAR NASIK (Id: S-9563),Teacher Training
6120,Maharashtra,MAHARSHI WALMIKI BAHUDESHIY SANSTHA MALKAPUR AKOLA (Id: S-9564),Teacher Training
6121,Maharashtra,MAHASHRI SHAIKSHANIK AND KRISHI SANSTHA NANDURBAR NANDURBAR (Id: S-9565),Teacher Training
6122,Maharashtra,MAHASIDHA SHIKSHAN PRASARAK MANDAL GRAMIN VIKAS DIPLOMA IN EDUCATION COLLEG SOUTH SOLAPUR SOLAPUR (Id: S-9566),Teacher Training
6123,Maharashtra,"MAHATAMA EDUCATION SOCIETY PILLAI INSTITUTE OF MANAGEMENT STUDIES and RESEARCH, NEW PANVEL (Id: S-225)",PGDM Institutes
6124,Maharashtra,MAHATMA BASAVESHWAR EDUCATION SOCIETY'S T.B.GIRWALKAR POLYTECHNIC AMBEJOGAI DIST.BEED (Id: S-1926),Technical/Polytechnic
6125,Maharashtra,MAHATMA BASVESHWAR ADHYAPAK VIDHYALAYA BANSHANKARI BAHUUDDES BASAV NAGAR MANDRUP SOLAPUR (Id: S-9567),Teacher Training
6126,Maharashtra,MAHATMA BASVESHWAR EDUCATION SOC COLLEGE OF PHARMACY BARSHI ROAD LATUR (Id: S-10354),Technical/Polytechnic
6127,Maharashtra,MAHATMA EDUCATION SOCIETY RASAYANI RAIGAD (Id: S-9568),Teacher Training
6128,Maharashtra,MAHATMA EDUCATION SOCIETY'S PILLAIS HOC POLYTECHNIC KHALAPUR (Id: S-1927),Technical/Polytechnic
6129,Maharashtra,MAHATMA FULE SAMATA SHIKSHAN SANSTHA K. D. PAWAR COLLEGE(D. ED. ) NAGPUR NAGPUR (Id: S-9570),Teacher Training
6130,Maharashtra,MAHATMA FULE SAMATA SHIKSHAN SANSTHA SMT. RADHABAI PAWAR D. ED. COLLEGE KATOL NAGPUR (Id: S-9569),Teacher Training
6131,Maharashtra,MAHATMA GANDHI COLLEGE OF TECHNICAL EDUCATION RAJURA CHANDRAPUR (Id: S-10483),Technical/Polytechnic
6132,Maharashtra,MAHATMA GANDHI COLLEGE OF TECHNICAL EDUCATION WARDHA (Id: S-10514),Technical/Polytechnic
6133,Maharashtra,MAHATMA GANDHI JR. COLLEGE OFEDUCATION ARANYESHWAR PUNE (Id: S-9571),Teacher Training
6134,Maharashtra,MAHATMA GANDHI MEMORIAL HOSPITAL MUMBAI (Id: S-4781),Nursing
6135,Maharashtra,MAHATMA GANDHI MISHAN`S COLLEGE OF ENGINEERING NEW MUMBAI (Id: S-10411),Technical/Polytechnic
6136,Maharashtra,MAHATMA GANDHI MISSION JUNIOR COLLEGE OF EDUCATION CIDCO AURANGABAD (Id: S-9572),Teacher Training
6137,Maharashtra,MAHATMA GANDHI MISSION'S MEDICAL COLLEGE AURANGABAD (Id: S-4782),Nursing
6138,Maharashtra,MAHATMA GANDHI SHIKSHAN PRASARAK MANDAL ADHYAPAK VIHAYALA SHAHADA NANDURBAR (Id: S-9574),Teacher Training
6139,Maharashtra,MAHATMA GANDHI SHIKSHAN PRASARAK MANDAL BHUSAWAL JALGAON (Id: S-9573),Teacher Training
6140,Maharashtra,MAHATMA GANDHI TALUKA SHIKSHAN MANDAL`S SHARADCHANDRIKA S PATIL INST OF TECHNOLOGY CHOPDA (Id: S-10757),Technical/Polytechnic
6141,Maharashtra,MAHATMA GANDHI TALUKA SHIKSHAN MANDAL'S SHARADCHANDRIKA S. PATIL INST OF TECHNOLOGY CHOPDA (Id: S-1928),Technical/Polytechnic
6142,Maharashtra,MAHATMA GANDHI VIDYAMANDIR'S INSTITUTE OF INDUSTRIAL and PHARMACEUTICAL TECHNOLOGY NASHIK (Id: S-1930),Technical/Polytechnic
6143,Maharashtra,MAHATMA JYOTIBA FULE D. ED COLLEGE KHEDMAKTA CHANDRAPUR (Id: S-9575),Teacher Training
6144,Maharashtra,MAHATMA JYOTIBA PHULE BAHUDDESHIYA BHIMRAO PATIL D. ED. COLLEGE GANGAKHED PARBHANI (Id: S-9576),Teacher Training
6145,Maharashtra,MAHATMA JYOTIBA PHULE BAHUUDDESHIYA SHIKSHAN CHIKHILI BULDANA (Id: S-9577),Teacher Training
6146,Maharashtra,MAHATMA JYOTIBA PHULE COLLEGE OF TECHNOLOGY CHANDRAPUR (Id: S-10545),Technical/Polytechnic
6147,Maharashtra,MAHATMA JYOTIBA PHULE EDUCATION TRUST KHED PUNE (Id: S-9578),Teacher Training
6148,Maharashtra,MAHATMA PHULE GRAMIN VIKAS JALKOT LATUR (Id: S-9579),Teacher Training
6149,Maharashtra,MAHATMA PHULE JR. COLLEGE OF EDUCATION SATARA SATARA (Id: S-9580),Teacher Training
6150,Maharashtra,MAHATMA PHULE SAMAJIK and SHAIKSHANIK VIKAS MANDAL SAMRAT ASHOK POLYTECHNICDHULE ROAD CHALISGAON DIST JALGAON (Id: S-1931),Technical/Polytechnic
6151,Maharashtra,MAHATMA PHULE SAMATA SHIKSHAN SANSTHA`S K D PAWAR COLLEGE OF PHARMACY SAONER NAGPUR (Id: S-10455),Technical/Polytechnic
6152,Maharashtra,MAHATMA PHULE SAMATA SHIKSHAN SANSTHA SMT RADHABAI PAWAR INSTITUTE OF TECHNOLOGY KATOL NAGPUR (Id: S-10625),Technical/Polytechnic
6153,Maharashtra,MAHATMA PHULE SHIKSHAN SANSTHA MAHATMA PHULE INSTITUTE OF TECHNOLOGY RESHIMBAG (Id: S-10678),Technical/Polytechnic
6154,Maharashtra,MAHATMA PHULE VIDYANIKETAN SANSTHA HADPASAR PUNE (Id: S-9581),Teacher Training
6155,Maharashtra,MAHAVEER PRATISHTHAN`S MAHAVEER INSTITUTE OF COMPUTER MANAGEMENT PUNE (Id: S-10863),Technical/Polytechnic
6156,Maharashtra,MAHAVIR EDUCATION TRUST'S SHAH and ANCHOR KUTCHHI POLYTECHNIC MUMBAI (Id: S-1932),Technical/Polytechnic
6157,Maharashtra,MAHESHWARI VIDYAPRASARAK MANDAL`S DESHBHAKTA HARINARAYAN BANKATLAL SONI MAHAVIDYALAYA SOLAPUR (Id: S-10871),Technical/Polytechnic
6158,Maharashtra,MAHILA ADHYAPAK VIDYALAYA BEED BEED (Id: S-9582),Teacher Training
6159,Maharashtra,MAHILA ASHRAM JR. COLLEGE OF EDUCATION MAHILA ASHRAM WARDHA (Id: S-9583),Teacher Training
6160,Maharashtra,MAHILA BAHUDDESHIYA SHIKSHAN SANSTHAS D. ED. COLLEGE OF EDUCATION WARDHA WARDHA (Id: S-9584),Teacher Training
6161,Maharashtra,MAHILA INSTITUTE OF GARMENT TECHNOLOGY NAGPUR (Id: S-10461),Technical/Polytechnic
6162,Maharashtra,MAHILA JR. COLLEGE OF EDUCATION CHANDRAPUR CHANDRAPUR (Id: S-9585),Teacher Training
6163,Maharashtra,MAHILA JUNIOR COLLEGE LOF EDUCATION BHANDARA DISTBHANDARA DISTBHANDARA (Id: S-9586),Teacher Training
6164,Maharashtra,MAHILA SEVA SAMAJ D. ED. COLLEGE AMRAVATI AMRAVATI (Id: S-9587),Teacher Training
6165,Maharashtra,MAHILA UTKARSHA PRATISHSTAN`S PHARMACY COLLEGE RISOD WASHIM (Id: S-10268),Technical/Polytechnic
6166,Maharashtra,MAHILA VIKAS INDIRA INSTITUTE OF ADVANCE TECHNOLOGY CHANDRAPUR (Id: S-10476),Technical/Polytechnic
6167,Maharashtra,MAHILA VIKAS INSTITUTE OF GARMENT TECHNOLOGY WARDHA (Id: S-10482),Technical/Polytechnic
6168,Maharashtra,MAHILA VIKAS SANSTHA BATCHELOR ROAD WARDHA (Id: S-9588),Teacher Training
6169,Maharashtra,MAHILA VIKAS SANSTHA DR. R.G. BHOYAR INSTITUTE OF TECH. EDUCATION NALWADI DIST. WARDHA (Id: S-1933),Technical/Polytechnic
6170,Maharashtra,MAHILA VIKAS SANSTHA NARMADA INSTITUTE OF TECHNOLOGY GADCHANDUR (Id: S-10602),Technical/Polytechnic
6171,Maharashtra,MAHILA VIKAS SANSTHA'S DR. R.G. BHOYAR INSTITUTE OF PHARMACY WARDHA (Id: S-1934),Technical/Polytechnic
6172,Maharashtra,MAHILA VIKAS SANSTHA`S INSTITUTE OF ADVANCE STUDIES (Id: S-10746),Technical/Polytechnic
6173,Maharashtra,MAITREYA SHIKSHAN PRASARAK MANDAL NANDANVANA COLONY AURANGABAD (Id: S-9589),Teacher Training
6174,Maharashtra,MAJALGAON VIKAS PRATISHTHAN MANJALGAON MAHILA D. ED COLLEGE MAJALGAON MAJALGAON (Id: S-9590),Teacher Training
6175,Maharashtra,MA JIJAU BAHUUDDESHIYA SHIKSHAN PRASARAK MANDAL`S SHIVNERI INSTITUTE OF ADVANCE TECHNOLOGY GADCHIROLI (Id: S-10749),Technical/Polytechnic
6176,Maharashtra,MALSHEJ ADHYPAK VIDYALA JUNNAR PUNE (Id: S-9591),Teacher Training
6177,Maharashtra,"MANAV SADHAN VIKAS SANSTHAs SCHOOL OF NURSING, SINDHUDURG (Id: S-12823)",Nursing
6178,Maharashtra,MANDAR EDUCATION SOCIETY'S COLLEGE OF PHARMACY(DIPLOMA) PEDHAMBE (Id: S-1936),Technical/Polytechnic
6179,Maharashtra,MANDAR EDUCATION SOCIETY'S RAJARAM SHINDE INSTITUTE OF ENGINEERING AND TECHNOLOGY PEDHAMBE (Id: S-1937),Technical/Polytechnic
6180,Maharashtra,MANGANGA SHIKSHAN SANSTHA ATPADI ATPADI (Id: S-9592),Teacher Training
6181,Maharashtra,MANJRA CHARITABLE TRUST AIROLI TOWNSHIP MUMBAI (Id: S-9594),Teacher Training
6182,Maharashtra,MANJRA CHARITABLE TRUST WORLI MUMBAI (Id: S-9593),Teacher Training
6183,Maharashtra,MANNATH D ED COLLEGE SHYAMSUNDER MUNDHE PRATISHTHAN PARBHNI PARBHNI (Id: S-9595),Teacher Training
6184,Maharashtra,MANOHAR PHALKE MEMORIAL FOUNDATION'S POLYTECHNICMUMBAI (Id: S-1938),Technical/Polytechnic
6185,Maharashtra,MANUSHYABAL VIKAS VA BAHUUDDESHIYA SANSTHA YASHWAT ADHYAPAK VIDYALAYA DEORI GONDIA (Id: S-9596),Teacher Training
6186,Maharashtra,MAN VIDYA PRASARAK MANDALPOLYTECHNIC COLLEGE DAHIWADI (Id: S-1935),Technical/Polytechnic
6187,Maharashtra,MARATHA MANDIR'S BABASAHEB GAWADE INSTITUTE OF TECHNOLOGY MUMBAI (Id: S-1939),Technical/Polytechnic
6188,Maharashtra,MARATHA MANDIR S. R. DESAI JUNIOR COLLEGE OF EDUCATION SHIVAJI NAGR RATNAGIRI (Id: S-9597),Teacher Training
6189,Maharashtra,MARATHA SHIKSHAN SANSTHA'S P.R.PATIL INSTITTUTE OF POLYTECHNIC TALEGAON ASTHI WARDHA (Id: S-1940),Technical/Polytechnic
6190,Maharashtra,MARATHAWADA MITRA MANDAL SCHOOL OF INTERIOR DESIGN PUNE (Id: S-10830),Technical/Polytechnic
6191,Maharashtra,MARATHI JUNIOR COLLEGE OF EDUCATION MALEGAON NASIK (Id: S-9598),Teacher Training
6192,Maharashtra,MARATHWADA ADHYAPAK VIDHYALAYA AHMEPUR LATUR (Id: S-9599),Teacher Training
6193,Maharashtra,MARATHWADA ASSOCIATION FOR SOCIAL SERVICESS KHULTABAD AURANGABAD (Id: S-9600),Teacher Training
6194,Maharashtra,MARATHWADA GRAM VIKAS SANTHA SHRI SANT GAJANAN MAHARAJ COLLEGE OF TECHNICAL EDUCATION MALEGAON ROAD (Id: S-10371),Technical/Polytechnic
6195,Maharashtra,MARATHWADA MITRA MANDAL'S POLYTECHNIC PUNE (Id: S-1941),Technical/Polytechnic
6196,Maharashtra,MARATHWADA SHIKSHAN PRASARAK MANDAL'S SHRI SHIVAJI INSTITUTE OF PHARMACYPARBHANI (Id: S-1943),Technical/Polytechnic
6197,Maharashtra,MARATHWADA SHIKSHAN PRASARAK MANDAL YESHWANTRAO CHAVAN INSTITUTE OF POLYTECHNIC BEED (Id: S-1942),Technical/Polytechnic
6198,Maharashtra,MARATHWADA VIDYA VIKAS MANDAL ADHYAPAK VIDYALAYA PAITHAN PAITHAN (Id: S-9601),Teacher Training
6199,Maharashtra,MARATHWARD SHIKSHAK PRASARAK MANDAL LAL BAHADUR SHASTRI D. ED COLLEGE PARTUR JALNA (Id: S-9602),Teacher Training
6200,Maharashtra,MARY BHORE SCHOOL OF NURSING SANGLI (Id: S-4783),Nursing
6201,Maharashtra,MASUMIYA URDU D. ED. COLLEG FOR WOMEN MUKUND NAGAR AHMEDNAGAR (Id: S-9603),Teacher Training
6202,Maharashtra,MATA MAHAKALI BAHUUDDESHIYA SHIKSHAN PRASARAK MANDAL'S MATA MAHAKALI POLYTECHNIC COLLEGE WARORA (Id: S-1944),Technical/Polytechnic
6203,Maharashtra,MATHURABAI RAMBHAU NARKHEDE MEMORIAL TRUST`S SHASHWAT INSTITUTE OF BUSINESS LEADERSHIP (Id: S-10864),Technical/Polytechnic
6204,Maharashtra,MATHURABAI RAMBHAU NARKHEDE MEMORIAL TRUST`S SON HI-TECH and MANAGEMENT DEVELOPMENT and RESEARCH INSTITUTE (Id: S-10865),Technical/Polytechnic
6205,Maharashtra,MATHURAI SHIKSHAN SANSTHA JALGAON CHALISGAON (Id: S-9604),Teacher Training
6206,Maharashtra,MATOSHREE EDUCATION SOCIETY MANMAD NAGAR MANMAD NAGAR (Id: S-9605),Teacher Training
6207,Maharashtra,MATOSHREE KAMALTAI THAMKE BSS GOKUNDA'S RAJARSHEE SHAHU MAHARAJ POLYTECHNICKINWATNANDED (Id: S-1945),Technical/Polytechnic
6208,Maharashtra,MATOSHREE KANTABAI SHIKSHAN BAHUDDESHIYA SANSTHA BHAGAT COLLEGE OF TECHNICAL EDUCATION DEVALI WARDHA (Id: S-10647),Technical/Polytechnic
6209,Maharashtra,MATOSHRI EDUCATION SOCEITY MATOSHRI ASARABAI POLYTECHNICNASHIK (Id: S-1946),Technical/Polytechnic
6210,Maharashtra,MATOSHRI EDUCATION SOCEITY MATOSHRI INSTITUTE OF TECHNOLOGY DHANORE NASHIK (Id: S-1947),Technical/Polytechnic
6211,Maharashtra,MATOSHRI EDUCATION SOCIETY'S MABD DIPLOMA COLLEGE OF PHARMACYBHABULGAON YEOLA DIST. NASHIK. (Id: S-1948),Technical/Polytechnic
6212,Maharashtra,MATOSHRI EDUCATION SOC `S COLLEGE OF PHARMACY MEHAKAR TAL MAHEKAR BULDHANA (Id: S-10267),Technical/Polytechnic
6213,Maharashtra,MATOSHRI GIRLS D. ED. COLLEGE D. G. TUKUM CHANDRAPUR (Id: S-9606),Teacher Training
6214,Maharashtra,MATOSHRI KRIDA YUVAK KALYAN VYAYAM and SHIKSHAN PRASARAK MANDAL TELHARA AKOLA (Id: S-9607),Teacher Training
6215,Maharashtra,MATOSHRI PRATISHTHAN VISHWABHARATI POLYTECHNIC INSTITUTE VISHNUPURI (Id: S-1949),Technical/Polytechnic
6216,Maharashtra,MATOSHRI TULSABAI D. ED. COLLEGE BADNAPUR BADNAPUR (Id: S-9608),Teacher Training
6217,Maharashtra,MATOSHRI VIJAYATAI BELORKAR TECHNICAL INSTITUTE GHATANJI YAVATMAL (Id: S-10341),Technical/Polytechnic
