Sl.No,State_Name,Institution_Name,Institution_Type
8645,Rajasthan,SHREE KRISHNA EDUCATIONAL INSTITUTE BHARATPUR (Id: S-7629),Teacher Training
8646,Rajasthan,SHREE MOOL CHAND MEENA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA LALSOT (Id: S-7630),Teacher Training
8647,Rajasthan,SHREE NARASINGH GEN NSG and MIDWIFERY INSTITUTE BHARATPUR (Id: S-5175),Nursing
8648,Rajasthan,SHREE PAARTH NURSING SCHOOL JODHPUR (Id: S-5176),Nursing
8649,Rajasthan,SHREE SABAL BALIKA SHIKSHAK (Id: S-7632),Teacher Training
8650,Rajasthan,SHREE SABAL BALIKA SHIKSHAK PRASHIKSHAN VIDYALAYA (Id: S-7631),Teacher Training
8651,Rajasthan,SHRI AGRASEN TEACHER TRAINING SCHOOL (Id: S-7633),Teacher Training
8652,Rajasthan,"SHRI BAJRANG POLYTECHNILC COLLEGE, BHARATPUR (Id: S-2667)",Technical/Polytechnic
8653,Rajasthan,SHRI BAJRANG SHIKSHAK PRASHIKSHAN SCHOOL (Id: S-7634),Teacher Training
8654,Rajasthan,SHRI BALAJI TEACHERS TRAINING SCHOOL DUNGARPUR (Id: S-7635),Teacher Training
8655,Rajasthan,"SHRI BALAJI TECHNICAL INSTITUTE, JAIPUR (Id: S-2668)",Technical/Polytechnic
8656,Rajasthan,SHRI BALDEV RAM MIRDHA INSTITUTE OF NURSING NAGOUR (Id: S-5179),Nursing
8657,Rajasthan,SHRI DADU DAYAL SCHOOL OF NURSING JODHPUR (Id: S-5180),Nursing
8658,Rajasthan,"SHRI DEVI WOMEN POLYTECHNIC, HANUMANGARH (Id: S-2669)",Technical/Polytechnic
8659,Rajasthan,SHRI DIGAMBAR JAIN ADARSH MAHILA SANSKRIT SHIKSHAK PRASHIKSHAN VIDYALAYA (Id: S-7636),Teacher Training
8660,Rajasthan,SHRI DIGAMBER JAIN ADARSH MAHILA SANSKRIT PRASHIKSHAN VIDYALAYA (Id: S-7637),Teacher Training
8661,Rajasthan,"SHRI GANGANAGAR POLYTECHNIC COLLEGE, SRIGANGANAGAR (Id: S-2670)",Technical/Polytechnic
8662,Rajasthan,"SHRI GOKULBHAI BHATT GOVERNMENT POLYTECHNIC COLLEGE, SIROHI (Id: S-2672)",Technical/Polytechnic
8663,Rajasthan,"SHRI GOKUL VERMA GOVERNMENT POLYTECHNIC COLLEGE, BHARATPUR (Id: S-2671)",Technical/Polytechnic
8664,Rajasthan,SHRI GOVIND HARIDEO JOSHI SHIKSHAK PRASHIKSHAN VIDYALAYA (Id: S-7638),Teacher Training
8665,Rajasthan,SHRI GURUNANAK KHALSA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA (Id: S-7639),Teacher Training
8666,Rajasthan,"SHRI HIRALAL YOGI POLYTECHNIC COLLEGE, BARMER (Id: S-2674)",Technical/Polytechnic
8667,Rajasthan,SHRI JAIN ADARSH KANYA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA BIKANER (Id: S-7640),Teacher Training
8668,Rajasthan,"SHRI JAWAHAR WOMAN POLYTECHNIC COLLEGE, DAUSA (Id: S-2675)",Technical/Polytechnic
8669,Rajasthan,SHRI KALYAN AROGYA SADAN SIKAR (Id: S-5181),Nursing
8670,Rajasthan,SHRI KRISHNA PRIMARY MAHILA TEACHERS TRAINING SANSTHAN JAIPUR (Id: S-7641),Teacher Training
8671,Rajasthan,SHRI LAL BAHADUR SHASTRI NURSING INSTITUTE JODHPUR (Id: S-5182),Nursing
8672,Rajasthan,SHRI MAHARSHI DADHICH( S M D) SCHOOL OF NURSING KOTA (Id: S-5183),Nursing
8673,Rajasthan,SHRI MAHARSHI DATHICH TEACHER TRAINING SCHOOL (Id: S-7642),Teacher Training
8674,Rajasthan,SHRI MAHAVEER TEACHERS TRAINING SCHOOL - JAIPUR (Id: S-7643),Teacher Training
8675,Rajasthan,SHRI MARUDHAR KESHRI BALIKA SANSKRIT PRASHIKSHAN VIDYALAYA (Id: S-7644),Teacher Training
8676,Rajasthan,SHRI MATI CHANDRAWAL GUPTA MAHILA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA SIROHI (Id: S-7645),Teacher Training
8677,Rajasthan,SHRI MATSYA ELEMENTRY TEACHER TRAINING INSTITUTE (Id: S-7646),Teacher Training
8678,Rajasthan,SHRINATH EDUCATION INSTITUTE OF NURSING RAJSAMAND (Id: S-5187),Nursing
8679,Rajasthan,SHRINATH INSTITUTE OF NURSING UDAIPUR (Id: S-5188),Nursing
8680,Rajasthan,SHRI RAGHUNATH ELEMENTRY TEACHER EDUCATION INSTITUTE SIKAR (Id: S-7648),Teacher Training
